n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso
36,17769.54582184671,357.0070035302908,7976.828014845044,73527692.58448465,279140411.0550679,245349395.30249995
37,18847.71847539752,385.1800477299764,7794.896091257165,78218259.76423413,301168648.7669495,259867007.41999993
38,18471.27239675701,370.2501591983093,7765.432098765434,76336606.074807,289495109.6472047,257050011.60999992
39,19527.87902384484,395.0779507829739,8000.0,80854864.02204597,308907725.87041783,269336863.26750004
40,18892.088529920547,382.05464159626985,7961.733222562696,78258217.40078965,298724923.16983527,266458131.22999993
41,19440.99784547103,394.92202530123694,7898.148148148148,80577564.85851078,308785809.2059374,273159370.3074998
42,20038.00476835158,403.59979580411806,8000.0,82862485.04750082,315570876.1689429,279903046.6750001
43,21363.065822174118,427.29561085867175,8000.0,88134987.08099812,334098410.61282474,293531140.7725
44,21159.593524368072,414.6592774218418,7774.058617771684,86929891.89759453,324218180.6035923,296083703.1099999
45,22077.448847190604,445.53504399667105,7986.515504348665,91252745.25913104,348359651.46582097,309502424.0425001
46,21565.18581112576,443.97249506489743,7741.144834950696,89517774.08988374,347137909.18402404,306519411.4575
47,22198.22320290878,449.7533309115051,7950.305949671947,91830239.64756157,351657890.24464875,314095280.76750004
48,23329.637971059612,459.26479360611137,7776.230183879272,95821078.99864094,359094813.2743151,325030629.1150001
