capex_battery,injection_price,n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso
0.005,0.001,30,12251.975823240484,136.51691364880335,25040.702865060284,51365431.11601361,106741288.02815889,211278887.9575001
0.005,0.025750000000000002,30,13989.753976536376,192.14569869909332,24556.396710927416,57011910.868633695,150236910.72429556,211278887.9575001
0.005,0.0505,30,18677.205224172525,662.6487179406246,22765.432098765432,75143782.8063378,518118786.6959184,211278887.9575001
0.005,0.07525000000000001,30,49022.12606761578,1819.9999753032612,20570.217960266375,90187187.96805505,1423040826.0975785,211278887.9575001
0.005,0.1,30,81995.21984660118,1820.0,20570.21828988585,90187188.18940502,1423040845.4077497,211278887.9575001
0.01875,0.001,30,12226.122833899195,135.3097935813577,13406.53776729906,51233336.25996502,105797452.2252553,211278887.9575001
0.01875,0.025750000000000002,30,13963.604623659015,192.1356283030749,14000.0,57027644.38207082,150229036.77656984,211278887.9575001
0.01875,0.0505,30,18650.3212419602,662.3690822644886,14160.493827160468,75127144.5555417,517900142.19648635,211278887.9575001
0.01875,0.07525000000000001,30,48996.988616013914,1819.9999753032612,14000.0,90181066.09197769,1423040826.0975785,211278887.9575001
0.01875,0.1,30,81970.46897305002,1820.0,14000.0,90181066.31325199,1423040845.4077497,211278887.9575001
0.0325,0.001,30,12205.348673432449,136.215567414626,12500.0,51348937.07559735,106505668.24802473,211278887.9575001
0.0325,0.025750000000000002,30,13941.701984230609,192.1354313955714,13000.0,57024781.97535031,150228882.81644735,211278887.9575001
0.0325,0.0505,30,18628.555422779642,662.2481919258869,13000.0,75117581.86751309,517805619.18019557,211278887.9575001
0.0325,0.07525000000000001,30,48975.15130860994,1819.9999753032612,13000.0,90171819.25300983,1423040826.0975785,211278887.9575001
0.0325,0.1,30,81948.99334684081,1820.0,13000.0,90171819.47430871,1423040845.4077497,211278887.9575001
0.04625,0.001,30,12185.766070574744,136.17252956078994,12000.0,51340760.11614406,106472017.3557665,211278887.9575001
0.04625,0.025750000000000002,30,13920.907128719224,192.07836775241637,12500.0,57015322.32594393,150184265.2917254,211278887.9575001
0.04625,0.0505,30,18607.038742459983,691.2347671047219,13000.0,75717514.58229366,540469949.09666,211278887.9575001
0.04625,0.07525000000000001,30,48954.19635555432,1819.9999753032612,13000.0,90171819.25301,1423040826.0975785,211278887.9575001
0.04625,0.1,30,81928.03839378514,1820.0,13000.0,90171819.47430871,1423040845.4077497,211278887.9575001
0.06,0.001,30,12166.423036984892,136.17252956078994,12000.0,51340760.11614406,106472017.3557665,211278887.9575001
0.06,0.025750000000000002,30,13901.261806144204,192.05182814163288,12000.0,57006735.59218388,150163514.2202039,211278887.9575001
0.06,0.0505,30,18586.083132343058,691.2396350902462,13000.0,75717613.5402215,540473755.328657,211278887.9575001
0.06,0.07525000000000001,30,48933.241402497864,1819.9999753032612,13000.0,90171819.25300643,1423040826.0975785,211278887.9575001
0.06,0.1,30,81907.08344072948,1820.0,13000.0,90171819.47430871,1423040845.4077497,211278887.9575001
