n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max
1,557.8964763046982,12.36887618202798,16763.169799846426,2297563.710256489,9671107.702646479,3303687.0375,8381.584899923213
2,1224.184280678821,19.86320393113241,30890.88005972343,5034798.904702291,15530851.931134539,8253624.407500001,15445.440029861715
3,2183.7582610628024,100.0,106910.05002368464,12882310.12588961,78189057.43998502,15743630.127499998,53455.02501184232
4,3848.716628858201,100.0,136272.53854327818,18579362.888344858,78189057.43998502,25999536.437500004,68136.26927163909
5,5392.196238515342,126.42130552832148,201525.12480685845,25557299.84824249,98847627.19591863,37322599.75750001,100762.56240342923
6,6573.443655455739,139.99432508623764,227000.300355472,30393512.614309054,109460243.25439985,45242380.7825,113500.150177736
7,7334.090602268994,152.54134935432697,228954.66431504744,33588044.340500124,119270643.26638347,49954340.592500016,114477.33215752372
8,7724.001741274501,156.9587641022092,233996.29160983095,35140083.193911485,122724578.22096807,53161239.135,116998.14580491548
9,8485.925203144438,164.54844825448208,243816.43894455594,38164653.92129995,128658880.72230119,58750571.160000004,121908.21947227797
10,9578.39809951052,179.90176839773233,271834.04774238553,42792109.88875791,140663497.02805242,65962166.2325,135917.02387119277
11,10446.361581647398,202.31892414796755,304259.3255148929,47242734.379193865,158191259.81401464,72037175.88,152129.66275744644
12,11206.189694356035,215.10735552777732,325400.7172891994,50602188.934111394,168190413.7712466,78333880.54999998,162700.3586445997
13,13021.454875275345,287.3671277877504,451782.27456072613,61555065.27660278,224689648.6095999,91689313.86,225891.13728036307
14,14263.25558711684,309.5353477109579,479542.0502952897,67042421.97634435,242022770.81878257,99150178.2775,239771.02514764486
15,14889.357480028899,324.55543277329235,517049.8861396734,70278437.14738072,253766833.7557034,103863356.59999998,258524.9430698367
16,15247.86510481128,332.56531467476304,508687.6249937257,71743156.94796,260029684.9165206,106742220.02500002,254343.81249686284
17,15808.983658361398,351.014499655482,550608.8229399654,74990605.97527745,274454928.7582993,111546506.5225,275304.4114699827
18,17508.469300280743,382.48603313885155,594617.4321348936,82550196.23898862,299062224.15085566,121649804.425,297308.7160674468
19,18290.154353503007,409.63024024161314,634881.2238830228,86914552.76668687,320286023.83406025,127672975.93999998,317440.6119415114
20,19728.775525187237,434.20556522607353,663241.9578331822,93132894.23433137,339501238.8022299,137648595.13750002,331620.9789165911
21,21215.492668168383,451.37916804315523,682730.6052477492,99080855.51716,352929116.9733931,148603268.72500002,341365.3026238746
22,21343.518280122313,478.34970169970796,773687.7501541037,101790973.31364565,374017123.0259817,150204367.40000007,386843.87507705187
23,22358.09010394395,485.9463146629218,758553.2091593768,105408468.91598347,379956843.0992749,156865930.5525001,379276.6045796884
24,23754.746506979973,506.2478979768185,790045.5706502594,111237534.05835271,395830459.7378114,165112709.98750007,395022.7853251297
25,23606.551467210316,500.9875944444373,785903.6986115932,110597882.40219457,391717477.98736084,165349824.72750005,392951.8493057966
26,24656.674558874773,515.674407177679,795177.641138606,114774294.27720723,403200958.43146044,172054719.73249987,397588.820569303
27,25604.36237854083,551.0696163471382,874186.4653097595,120344354.88943043,430876138.8599741,178761792.4374999,437093.23265487974
28,27140.92647994041,593.0893660488038,903300.5552391246,127722660.43980297,463730985.0903435,189320077.85750002,451650.2776195623
29,28912.386735787644,637.340818987494,980312.6112502555,136386498.08519018,498330779.0466064,202168944.22749993,490156.30562512774
30,30343.239318138534,645.8599069690392,1008326.3626484234,141900318.42914522,504991773.6418628,211278887.9575001,504163.1813242117
31,29900.30088823616,654.7736386723119,1033953.7425580623,141177560.04460263,511961336.4433762,209880408.62000012,516976.87127903115
32,30722.245105439048,679.9370374083222,1094354.0916300463,145741878.54548958,531636360.73492324,215175303.6375,547177.0458150231
33,31693.58099194043,688.5614687375094,1062754.7756230265,149075740.236123,538379722.3007796,221530378.97500002,531377.3878115133
34,32992.48256892362,705.211018688557,1075597.9531997659,154440770.40752,551397848.4755,229249625.3549999,537798.9765998829
35,34354.791732986174,735.6156631779847,1125199.3111974532,160795239.22739565,575170953.41976,238466315.00999996,562599.6555987266
36,35243.386017841636,765.506128526401,1217572.7107295846,166299180.33640382,598542026.5401163,245349395.30249995,608786.3553647923
37,37406.45343600659,811.1242851910797,1274126.03360668,176087785.22093543,634210433.2577274,259867007.41999993,637063.01680334
38,36692.293712871244,811.545302382221,1304423.8040525117,174075624.48749772,634539622.6311388,257050011.60999992,652211.9020262558
39,38774.06008830054,850.2990401157061,1351528.8862398723,183391281.38031104,664840804.8877074,269336863.26750004,675764.4431199362
40,37975.91957697169,837.5623071792802,1330534.4674674617,179995004.83809498,654882073.4560761,266458131.22999993,665267.2337337309
41,38932.85440396855,856.1059581229972,1377337.0105900345,184497622.87498447,669381179.3439456,273159370.3074998,688668.5052950173
42,39892.61392973587,876.8031253892697,1415776.994712087,189014590.6479353,685564099.3462131,279903046.6750001,707888.4973560435
43,42243.963627613484,916.0764994789654,1447950.8174804356,198957808.50912204,716271580.3718126,293531140.7725,723975.4087402178
44,42211.81905353613,931.4558172023994,1492802.0502845559,200106627.1740772,728296523.9404819,296083703.1099999,746401.0251422779
45,44179.47219847518,964.002673291637,1538447.6546580838,208742100.79936445,753744603.9429909,309502424.0425001,769223.8273290419
46,43417.39201561464,960.4685938653924,1549858.6320473212,206038592.47576138,750981340.5504366,306519411.4575,774929.3160236606
47,44693.917202456876,975.1730360274817,1570723.8725459708,211330917.91800228,762478605.2787752,314095280.76750004,785361.9362729854
48,46454.07022396117,1012.990869285171,1612926.4145386582,219319021.6363914,792048012.6471899,325030629.1150001,806463.2072693291
